id,company,color,wheel-base-style-circum-diam,length,nbSeats,num-of-cylinders,horsepower,average-mileage,price
927,Mazda,color-yellow,102.33,165.957265562,brytonpq@bbb.org,two,164,,44007
928,Mitsubishi,,,148.2745941,costlerpr@about.com,five5,119,,
929,Lexus,color-blac,109.21,168.609188031,cpinkieps@berkeley.edu,[four4,190,4141.66,22728
930,Nissan,color-yellow,101.43,207.491729856,vlistpt@g.co,five5,112,,28963
931,Buick,color-yellow,107.59,146.783413549,sgriegerpu@mayoclinic.com,eight,151,,
932,Bentley,color-red,93.86,176.570210365,heroniepv@dailymail.co.uk,three,101,,5216
933,Nissan,color-blac,90.45,177.122267719,adreelanpw@google.com.hk,five5,213,,37874
934,Ford,color-red,111.31,170.864067757,jpenkethmanpx@techcrunch.com,two,103,,38509
935,Chevrolet,color-red,96.9,204.431058047,rblessedpy@foxnews.com,twelve,88,,33431
936,Mitsubishi,color-yellow,89.28,164.342341582,qmichelipz@sbwire.com,five5,80,,37327
937,Plymouth,color-red,101.85,187.050133171,kchanceq0@eventbrite.com,three,205,,44886
938,Lincoln,,,180.528281152,vwingateq1@myspace.com,BuG,215,,8745
939,Dodge,color-blac,100.11,147.638196658,apenhalewickq2@telegraph.co.uk,twelve,166,,33456
940,Mercedes-Benz,color-blac,91.47,197.622021627,csutheringtonq3@zimbio.com,twelve,71,820.79,40474
941,Lamborghini,color-red,117.05,153.553509216,seannettaq4@artisteer.com,six6,103,,43000
942,Saturn,color-red,117.68,177.525001788,klednerq5@cam.ac.uk,twelve,148,,23803
943,Dodge,color-blue,88.08,152.659230199,arushmanq6@adobe.com,six6,222,,25246
944,Chevrolet,color-blue,108.41,182.234666097,millemq7@youku.com,[four4,219,,25440
945,Ford,,,167.937330477,bwatkissq8@taobao.com,[four4,176,,40759
946,Lincoln,color-blue,110.96,185.703433268,sbraidleyq9@marriott.com,five5,196,,31549
947,Audi,color-yellow,99.19,187.208058833,rpeeqa@bbb.org,eight,55,,16855
948,Subaru,color-red,117.93,197.866417126,mdellatorreqb@usnews.com,eight,171,,18914
949,Dodge,color-blac,110.11,159.492606892,mtimperleyqc@twitter.com,five5,187,,12385
950,Honda,color-yellow,90.77,179.82581883,gcannerqd@nps.gov,five5,211,5662.34,29948
951,Mazda,color-yellow,92.45,150.436056088,kvokinsqe@cbc.ca,three,191,,30344
952,Buick,color-blue,118.63,200.268508965,ppancoustqf@boston.com,[four4,179,,
953,Lexus,color-blac,96.88,145.627007655,gdallicottqg@xinhuanet.com,two,222,,44471
954,Buick,color-yellow,104.31,142.000442389,mcheesmanqh@alibaba.com,three,121,,15823
955,Dodge,color-red,93.01,171.734586137,mquarrellqi@theguardian.com,[four4,93,,32112
956,Volkswagen,,,153.54084891,tnevetqj@stanford.edu,eight,156,,31112
957,GMC,color-red,97.01,203.878316171,cwalsheqk@slate.com,three,230,,38328
958,Mazda,color-yellow,90.68,176.948694598,fkeydenql@com.com,BuG,216,,
959,GMC,color-blue,97.06,157.136263051,cmcgurganqm@trellian.com,two,214,,31384
960,GMC,color-yellow,119.2,186.50109033,kcominiqn@hibu.com,eight,168,,6286
961,Honda,color-yellow,97.42,183.79837758,fcuttingqo@cam.ac.uk,two,89,,24024
962,Pontiac,color-blac,99.44,203.929681978,idanesqp@prnewswire.com,twelve,86,,31822
963,Volkswagen,color-red,103.24,185.558782539,dmcilhaggaqq@ebay.co.uk,BuG,101,,37931
964,Chevrolet,color-blue,118.26,146.378586364,eabramovitzqr@furl.net,five5,234,,19261
965,Mercury,color-yellow,98.85,140.62925929,fcoolsonqs@ftc.gov,[four4,179,,24270
966,GMC,color-yellow,105.77,148.359782366,tforstqt@wsj.com,twelve,203,,36524
967,Acura,color-red,96.72,157.868677294,everneyqu@elpais.com,two,187,,26625
968,Chevrolet,color-blac,90.69,178.249794394,htanslyqv@last.fm,five5,61,,43661
969,Maserati,,,205.905672225,jditchfieldqw@buzzfeed.com,twelve,110,,35352
970,Audi,,,177.415281747,ebrockieqx@t.co,five5,180,,37051
971,Cadillac,color-blue,91.84,186.021562657,bcollymoreqy@wix.com,six6,203,,15768
972,Ford,color-red,96.37,144.28975175,ssimaqz@bloomberg.com,BuG,232,,43308
973,Holden,color-red,90.76,176.964291726,dcostar0@fotki.com,eight,79,,35079
974,Mercury,color-yellow,94.92,186.504851718,phindsbergr1@live.com,[four4,201,,16019
975,Cadillac,color-blac,107.82,170.854439797,llayburnr2@blogger.com,eight,112,699.54,29147
976,Ford,color-blac,104.59,205.358518955,sguildfordr3@ted.com,five5,205,,16267
977,Kia,,,182.924360889,ecronkshawr4@skype.com,eight,232,,32198
978,GMC,color-red,99.92,183.788875502,adevigner5@bizjournals.com,BuG,155,,31210
979,Ford,color-yellow,106.14,169.234544914,akinneallyr6@sbwire.com,two,209,,31855
980,GMC,color-red,98.85,176.189675195,iferrarinr7@craigslist.org,six6,190,,40481
981,Chevrolet,color-yellow,90.12,163.697721945,mkleinhandlerr8@java.com,five5,162,,18799
982,GMC,color-red,99.22,187.171259531,eshulverr9@wunderground.com,two,145,4082.86,37711
983,Ford,color-blue,97.26,170.810243007,ngranthamra@shareasale.com,BuG,159,,41852
984,Lincoln,color-yellow,113.42,164.855608008,gnaughtonrb@live.com,BuG,161,,33853
985,GMC,color-blue,88.74,176.342801754,wfeatherbierc@tiny.cc,two,95,,20184
986,Chevrolet,color-red,96.22,181.504745437,dscogganrd@cbc.ca,[four4,208,,27246
987,Dodge,color-blue,94.65,141.506549455,cteckre@sohu.com,three,53,,16963
988,Jeep,color-blac,92.61,161.361965315,nlordonrf@dyndns.org,two,60,,36835
989,Mercedes-Benz,color-yellow,114.77,190.5017999,tbabingtonrg@ed.gov,twelve,164,,35768
990,Porsche,color-red,98.67,143.881425056,kverrellrh@nydailynews.com,twelve,148,,26060
991,Aston Martin,color-yellow,107.99,200.603529798,sedardsri@unblog.fr,five5,216,,6696
992,Mercury,color-red,113.65,,nsherbornrj@amazon.co.uk,two,224,,15815
993,Scion,color-red,99.98,166.008961099,twarlawrk@homestead.com,[four4,121,,31743
994,Chevrolet,color-blue,92.13,182.982203441,btolerl@free.fr,twelve,241,,27623
995,Chrysler,color-blue,116.88,181.924208176,caberdeinrm@mozilla.com,five5,221,,40094
996,Suzuki,color-blac,101.4,140.052939033,clitterickrn@ihg.com,five5,50,,32948
997,Mitsubishi,color-blac,113.17,151.916723662,gwimesro@hibu.com,five5,177,,37206
998,Mitsubishi,color-blue,118.03,164.733839089,jbonnetrp@usnews.com,six6,182,,23850
999,Toyota,color-red,103.3,203.818637802,jtrunbyrq@apache.org,eight,146,,23414
1000,Mitsubishi,color-blue,113.42,197.761145378,pesilmonrr@rediff.com,twelve,238,,16554
